title,description,start_at,end_at,location,participation_type,category_name,organizer_email,status,max_participants,registration_deadline,requires_registration,is_free_entry,ticket_price,online_platform,online_meeting_url,registration_link,poster_image_url,poster_local_path,source_reference,source_event_url,source_uuid,seed_purpose
Neurodiversitatea în mediul academic,Strategii de incluziune pentru profesori și studenți. Workshop despre provocările și oportunitățile neurodiversității în universitate.,2026-05-15 10:00:00,2026-05-15 13:00:00,Online — Google Meet,online,Workshop,organizer@uni.events,published,100,2026-05-14 10:00:00,true,true,,google-meet,https://meet.google.com/abc-defg-hij,https://forms.gle/xzCccQMacYHkZV5L9,,,evenimente.usv.ro,https://evenimente.usv.ro/event/9eb4bfee-65a6-48d8-957f-4e7647a2dd41,9eb4bfee-65a6-48d8-957f-4e7647a2dd41,realistic_usv;most_awaited;badge_tech
Cafeneaua științei: Scena ca laborator de creație,Teatrul explicat la o cafea. Discuție despre intersecția dintre artă și știință în spațiul universitar.,2026-05-20 16:00:00,2026-05-20 18:00:00,"Campus USV - Cladirea D, Sala BookCafe",on-site,Social,cultural.office@uni.events,published,,,false,true,,,,,,evenimente.usv.ro,https://evenimente.usv.ro/event/26b1909f-ee65-4e69-a98f-3df609472867,26b1909f-ee65-4e69-a98f-3df609472867,,realistic_usv;badge_culture
Simpozion: Digitalizarea în Educație,Prezentări și dezbateri despre viitorul digital al învățământului superior.,2026-05-25 09:00:00,2026-05-25 14:00:00,Aula_M_Eminescu,on-site,Academic,organizer@uni.events,published,200,2026-05-24 09:00:00,true,true,,,https://forms.gle/demo-reg,https://evenimenteapi.usv.ro/uploads/events/images/1778236322797627530_qgetpl28.jpg,research/posters/123897f5-ef0b-4ee9-a851-66eb0ba8e269.jpg,evenimente.usv.ro,https://evenimente.usv.ro/event/123897f5-ef0b-4ee9-a851-66eb0ba8e269,123897f5-ef0b-4ee9-a851-66eb0ba8e269,,realistic_usv;badge_tech
AI in Modern Software Development,Workshop practic despre utilizarea asistenților AI în procesul de dezvoltare software.,2026-05-18 14:00:00,2026-05-18 17:00:00,E239,on-site,Workshop,fiesc.organizer@uni.events,published,30,2026-05-17 14:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_tech;ai_assistant_demo
Cybersecurity Workshop: Defense Strategies,Învățați tehnici de apărare împotriva atacurilor cibernetice moderne.,2026-06-02 10:00:00,2026-06-02 14:00:00,C102,hybrid,Workshop,fiesc.organizer@uni.events,published,50,2026-06-01 10:00:00,true,false,25,ms-teams,https://teams.microsoft.com/l/meetup-join/demo,,,manual_usv_inspired,,,,badge_tech;most_awaited
Blockchain and Decentralized Systems,O introducere în arhitectura blockchain și aplicațiile practice ale acesteia.,2026-06-10 12:00:00,2026-06-10 14:00:00,E006,on-site,Academic,fiesc.organizer@uni.events,pending,,,false,true,,,,,,manual_usv_inspired,,,,badge_tech
Mobile App Development with Flutter,Crearea aplicațiilor mobile cross-platform folosind framework-ul Flutter.,2026-06-15 10:00:00,2026-06-15 14:00:00,Online — Zoom,online,Workshop,fiesc.organizer@uni.events,published,100,2026-06-14 10:00:00,true,true,,zoom,https://zoom.us/j/demo-meeting,,,manual_usv_inspired,,,,badge_tech;recommendations
USV Career Fair 2026,Cea mai mare expoziție de joburi pentru studenții USV. Întâlnește angajatori de top!,2026-05-28 10:00:00,2026-05-28 18:00:00,Campus USV,on-site,Career,career.center@uni.events,published,1000,,false,true,,,,,,manual_usv_inspired,,,,badge_career;most_awaited
CV Writing and Interview Skills,Învață cum să redactezi un CV de impact și cum să te prezinți la interviu.,2026-05-22 15:00:00,2026-05-22 17:00:00,Online — Google Meet,online,Career,career.center@uni.events,published,10,2026-05-21 15:00:00,true,true,,google-meet,https://meet.google.com/cv-workshop,,,manual_usv_inspired,,,,badge_career;waitlist_demo
Summer Internship Opportunities,Sesiune de informare despre programele de internship disponibile în vacanța de vară.,2026-06-05 14:00:00,2026-06-05 16:00:00,"Campus USV - Cladirea D, Sala BookCafe",on-site,Career,career.center@uni.events,published,40,2026-06-04 14:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_career
